employee_id,first_name,last_name,email,gender,birth_date,salary
41-6314689,Ode,Spiaggia,ospiaggia0@patch.com,M,1982-10-20,8777
93-8884314,Angele,Seadon,aseadon1@jugem.jp,F,1996-08-06,9583
61-3500001,Petronella,Ughi,pughi2@stumbleupon.com,F,1985-01-15,2961
78-1496463,Ciel,Lilburne,clilburne3@vkontakte.ru,F,1988-07-21,6968
70-1686727,Tyrus,Rowlings,trowlings4@wikispaces.com,M,1989-10-03,9661
56-6065352,Tobiah,Bone,tbone5@cornell.edu,M,1992-03-19,8525
69-2645010,Marianne,Tierny,mtierny6@fda.gov,F,1990-11-24,5119
47-8320045,Harry,Corradengo,hcorradengo7@phpbb.com,M,1981-05-24,9210
30-8506438,Carmina,Tristram,ctristram8@bandcamp.com,F,1982-09-01,6788
35-0870292,Ermengarde,Craighead,ecraighead9@shinystat.com,F,1985-01-11,6366
