employee_id,first_name,last_name,email,gender,birth_date,salary
66-7014301,Kinsley,Mullins,kmullins0@shinystat.com,M,1990-05-10,6161
22-6115898,Sidoney,Crease,screase1@netlog.com,F,1994-07-11,5520
75-5580614,Lila,Lenoir,llenoir2@webeden.co.uk,F,1992-06-08,9375
22-5073470,Dell,Commuzzo,dcommuzzo3@sourceforge.net,M,1998-06-14,5747
42-7100262,Aldo,Vince,avince4@ed.gov,M,1994-12-06,5947
97-7394630,Lionel,Schwaiger,lschwaiger5@merriam-webster.com,M,2000-08-31,9693
73-2758885,Erin,Attkins,eattkins6@gizmodo.com,F,1983-06-19,2958
95-7038372,Gustavo,Freake,gfreake7@addthis.com,M,1984-11-18,2126
69-4859643,Temp,Caverhill,tcaverhill8@alexa.com,M,2000-12-24,4145
90-1196696,Tadio,Cordoba,tcordoba9@opensource.org,M,2000-07-04,6545
61-3900911,Juanita,Lanfranconi update again,jlanfranconi2@rediff.com,F,1992-07-08,7241
28-0495338,Elsie,Brownlea update again,ebrownlea3@theglobeandmail.com,F,1985-11-03,8026
13-9980006,Chris,Kettlestringes update again,ckettlestringes4@indiegogo.com,M,1994-12-14,1015
91-9777482,Mellicent,Leftridge update,mleftridge4@pagesperso-orange.fr,F,1990-01-29,8463
24-4968833,Orin,Exall update,oexall5@hugedomains.com,M,2000-06-24,3222
70-9677400,Cordie,Quinby update,cquinby6@usatoday.com,F,1997-11-24,9937
